#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	7.33E-02	9.27E-01	7.41E-01	7.68E-01
1.50E-02	1.19E-01	8.81E-01	7.05E-01	7.54E-01
2.00E-02	1.70E-01	8.30E-01	6.64E-01	7.38E-01
2.50E-02	2.35E-01	7.65E-01	6.12E-01	7.20E-01
3.00E-02	3.01E-01	6.99E-01	5.59E-01	7.00E-01
3.50E-02	3.69E-01	6.31E-01	5.05E-01	6.83E-01
4.00E-02	4.29E-01	5.71E-01	4.57E-01	6.65E-01
4.50E-02	4.83E-01	5.17E-01	4.14E-01	6.47E-01
5.00E-02	5.34E-01	4.66E-01	3.73E-01	6.30E-01
