#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	9.38E-02	9.06E-01	6.04E-01	6.17E-01
1.50E-02	1.18E-01	8.82E-01	5.88E-01	6.07E-01
2.00E-02	1.42E-01	8.58E-01	5.72E-01	5.98E-01
2.50E-02	1.67E-01	8.33E-01	5.55E-01	5.87E-01
3.00E-02	1.93E-01	8.07E-01	5.38E-01	5.75E-01
3.50E-02	2.20E-01	7.80E-01	5.20E-01	5.61E-01
4.00E-02	2.50E-01	7.50E-01	5.00E-01	5.49E-01
4.50E-02	2.83E-01	7.17E-01	4.78E-01	5.35E-01
5.00E-02	3.13E-01	6.87E-01	4.58E-01	5.22E-01
