#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	2.49E-01	7.51E-01	5.63E-01	7.17E-01
1.50E-02	3.17E-01	6.83E-01	5.12E-01	6.99E-01
2.00E-02	3.72E-01	6.28E-01	4.71E-01	6.82E-01
2.50E-02	4.21E-01	5.79E-01	4.34E-01	6.67E-01
3.00E-02	4.62E-01	5.38E-01	4.04E-01	6.50E-01
3.50E-02	4.98E-01	5.02E-01	3.77E-01	6.34E-01
4.00E-02	5.31E-01	4.69E-01	3.52E-01	6.17E-01
4.50E-02	5.59E-01	4.41E-01	3.31E-01	6.00E-01
5.00E-02	5.86E-01	4.14E-01	3.11E-01	5.83E-01
