#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	9.55E-02	9.05E-01	6.78E-01	7.07E-01
1.50E-02	1.35E-01	8.65E-01	6.49E-01	6.97E-01
2.00E-02	1.83E-01	8.17E-01	6.13E-01	6.84E-01
2.50E-02	2.34E-01	7.66E-01	5.75E-01	6.71E-01
3.00E-02	2.83E-01	7.17E-01	5.38E-01	6.58E-01
3.50E-02	3.29E-01	6.71E-01	5.03E-01	6.45E-01
4.00E-02	3.73E-01	6.27E-01	4.70E-01	6.32E-01
4.50E-02	4.15E-01	5.85E-01	4.39E-01	6.19E-01
5.00E-02	4.50E-01	5.50E-01	4.13E-01	6.04E-01
