# GX (Channel Output Probability) Table
# Parameters: Pi=0.004000 Pd=0.004000 Ps=0.004000 Pt=0.992000
# Nu=6 Q=18 Nu2min=3 Nu2max=9
# Format: ly binary(y) xi probability
ly	binary(y)	xi	probability
4	0001	0	3.105097277086e-05
4	0001	1	1.568006565224e-05
4	0001	2	1.864421852860e-07
4	0001	3	3.105047595566e-05
4	0001	4	1.567956883705e-05
4	0001	5	1.859453700898e-07
4	0001	6	1.561783630714e-05
4	0001	7	1.242128401808e-07
4	0001	8	9.986730246912e-10
4	0001	9	3.105047595565e-05
4	0001	10	1.567956883703e-05
4	0001	11	1.859453700736e-07
4	0001	12	1.561783630712e-05
4	0001	13	1.242128401646e-07
4	0001	14	9.986730085033e-10
4	0001	15	1.561783530349e-05
4	0001	16	1.242118365299e-07
4	0001	17	9.976693737513e-10
4	0010	0	1.555561593870e-05
4	0010	1	3.080330790252e-05
4	0010	2	4.629643155940e-05
4	0010	3	1.857004592032e-07
4	0010	4	1.543339242302e-05
4	0010	5	3.092651607991e-05
4	0010	6	1.244667357013e-07
4	0010	7	1.561759039258e-05
4	0010	8	3.703922650452e-07
4	0010	9	1.852006491451e-07
4	0010	10	1.543289261296e-05
4	0010	11	3.092601626985e-05
4	0010	12	1.239669256433e-07
4	0010	13	1.561709058253e-05
4	0010	14	3.698924549872e-07
4	0010	15	7.527744810587e-10
4	0010	16	1.549387643136e-05
4	0010	17	2.466783038249e-07
4	0011	0	7.661034556877e-05
4	0011	1	4.605347701296e-05
4	0011	2	4.605297719888e-05
4	0011	3	4.605347701296e-05
4	0011	4	1.549660845714e-05
4	0011	5	1.549610864307e-05
4	0011	6	1.259502359140e-07
4	0011	7	1.254504218413e-07
4	0011	8	6.347195738619e-08
4	0011	9	4.605297719888e-05
4	0011	10	1.549610864307e-05
4	0011	11	1.549560882900e-05
4	0011	12	1.254504218413e-07
4	0011	13	1.249506077686e-07
4	0011	14	6.297214331348e-08
4	0011	15	6.347195738619e-08
4	0011	16	6.297214331348e-08
4	0011	17	9.936788583875e-10
4	0100	0	2.466783038249e-07
4	0100	1	3.698924549872e-07
4	0100	2	3.703922650452e-07
4	0100	3	1.549387643136e-05
4	0100	4	1.561709058253e-05
4	0100	5	1.561759039258e-05
4	0100	6	3.092601626985e-05
4	0100	7	3.092651607991e-05
4	0100	8	4.629643155940e-05
4	0100	9	7.527744810587e-10
4	0100	10	1.239669256433e-07
4	0100	11	1.244667357013e-07
4	0100	12	1.543289261296e-05
4	0100	13	1.543339242302e-05
4	0100	14	3.080330790252e-05
4	0100	15	1.852006491451e-07
4	0100	16	1.857004592032e-07
4	0100	17	1.555561593870e-05
4	0101	0	6.123696231499e-05
4	0101	1	6.123695833251e-05
4	0101	2	1.247126780997e-07
4	0101	3	6.123695833251e-05
4	0101	4	7.648415148992e-05
4	0101	5	3.061910297541e-05
4	0101	6	6.135941978972e-05
4	0101	7	3.074156841511e-05
4	0101	8	2.471701528287e-07
4	0101	9	1.247126780997e-07
4	0101	10	3.061910297541e-05
4	0101	11	1.251600800596e-09
4	0101	12	3.074156841511e-05
4	0101	13	1.537091418040e-05
4	0101	14	1.237130580160e-07
4	0101	15	2.471701528287e-07
4	0101	16	1.237130580160e-07
4	0101	17	1.237090755296e-07
4	0110	0	1.864372270257e-07
4	0110	1	3.074305786503e-05
4	0110	2	9.185580332948e-05
4	0110	3	1.247066803792e-07
4	0110	4	1.543413017849e-05
4	0110	5	6.129967850304e-05
4	0110	6	3.068132731838e-05
4	0110	7	6.129967850304e-05
4	0110	8	9.185580332948e-05
4	0110	9	7.497755246514e-10
4	0110	10	6.297613373268e-08
4	0110	11	3.068132731838e-05
4	0110	12	6.297613373268e-08
4	0110	13	1.543413017849e-05
4	0110	14	3.074305786503e-05
4	0110	15	7.497755246514e-10
4	0110	16	1.247066803792e-07
4	0110	17	1.864372270257e-07
4	0111	0	3.105097277086e-05
4	0111	1	3.105047595566e-05
4	0111	2	3.105047595565e-05
4	0111	3	1.568006565224e-05
4	0111	4	1.567956883705e-05
4	0111	5	1.567956883703e-05
4	0111	6	1.561783630714e-05
4	0111	7	1.561783630712e-05
4	0111	8	1.561783530349e-05
4	0111	9	1.864421852860e-07
4	0111	10	1.859453700898e-07
4	0111	11	1.859453700736e-07
4	0111	12	1.242128401808e-07
4	0111	13	1.242128401646e-07
4	0111	14	1.242118365299e-07
4	0111	15	9.986730246912e-10
4	0111	16	9.986730085033e-10
4	0111	17	9.976693737513e-10
4	1000	0	9.976693737513e-10
4	1000	1	9.986730085033e-10
4	1000	2	9.986730246912e-10
4	1000	3	1.242118365299e-07
4	1000	4	1.242128401646e-07
4	1000	5	1.242128401808e-07
4	1000	6	1.859453700736e-07
4	1000	7	1.859453700898e-07
4	1000	8	1.864421852860e-07
4	1000	9	1.561783530349e-05
4	1000	10	1.561783630712e-05
4	1000	11	1.561783630714e-05
4	1000	12	1.567956883703e-05
4	1000	13	1.567956883705e-05
4	1000	14	1.568006565224e-05
4	1000	15	3.105047595565e-05
4	1000	16	3.105047595566e-05
4	1000	17	3.105097277086e-05
4	1001	0	1.864372270257e-07
4	1001	1	1.247066803792e-07
4	1001	2	7.497755246514e-10
4	1001	3	3.074305786503e-05
4	1001	4	1.543413017849e-05
4	1001	5	6.297613373268e-08
4	1001	6	3.068132731838e-05
4	1001	7	6.297613373268e-08
4	1001	8	7.497755246514e-10
4	1001	9	9.185580332948e-05
4	1001	10	6.129967850304e-05
4	1001	11	3.068132731838e-05
4	1001	12	6.129967850304e-05
4	1001	13	1.543413017849e-05
4	1001	14	1.247066803792e-07
4	1001	15	9.185580332948e-05
4	1001	16	3.074305786503e-05
4	1001	17	1.864372270257e-07
4	1010	0	1.237090755296e-07
4	1010	1	1.237130580160e-07
4	1010	2	2.471701528287e-07
4	1010	3	1.237130580160e-07
4	1010	4	1.537091418040e-05
4	1010	5	3.074156841511e-05
4	1010	6	1.251600800596e-09
4	1010	7	3.061910297541e-05
4	1010	8	1.247126780997e-07
4	1010	9	2.471701528287e-07
4	1010	10	3.074156841511e-05
4	1010	11	6.135941978972e-05
4	1010	12	3.061910297541e-05
4	1010	13	7.648415148992e-05
4	1010	14	6.123695833251e-05
4	1010	15	1.247126780997e-07
4	1010	16	6.123695833251e-05
4	1010	17	6.123696231499e-05
4	1011	0	1.555561593870e-05
4	1011	1	1.857004592032e-07
4	1011	2	1.852006491451e-07
4	1011	3	3.080330790252e-05
4	1011	4	1.543339242302e-05
4	1011	5	1.543289261296e-05
4	1011	6	1.244667357013e-07
4	1011	7	1.239669256433e-07
4	1011	8	7.527744810587e-10
4	1011	9	4.629643155940e-05
4	1011	10	3.092651607991e-05
4	1011	11	3.092601626985e-05
4	1011	12	1.561759039258e-05
4	1011	13	1.561709058253e-05
4	1011	14	1.549387643136e-05
4	1011	15	3.703922650452e-07
4	1011	16	3.698924549872e-07
4	1011	17	2.466783038249e-07
4	1100	0	9.936788583875e-10
4	1100	1	6.297214331348e-08
4	1100	2	6.347195738619e-08
4	1100	3	6.297214331348e-08
4	1100	4	1.249506077686e-07
4	1100	5	1.254504218413e-07
4	1100	6	1.549560882900e-05
4	1100	7	1.549610864307e-05
4	1100	8	4.605297719888e-05
4	1100	9	6.347195738619e-08
4	1100	10	1.254504218413e-07
4	1100	11	1.259502359140e-07
4	1100	12	1.549610864307e-05
4	1100	13	1.549660845714e-05
4	1100	14	4.605347701296e-05
4	1100	15	4.605297719888e-05
4	1100	16	4.605347701296e-05
4	1100	17	7.661034556877e-05
4	1101	0	2.466783038249e-07
4	1101	1	1.549387643136e-05
4	1101	2	7.527744810587e-10
4	1101	3	3.698924549872e-07
4	1101	4	1.561709058253e-05
4	1101	5	1.239669256433e-07
4	1101	6	3.092601626985e-05
4	1101	7	1.543289261296e-05
4	1101	8	1.852006491451e-07
4	1101	9	3.703922650452e-07
4	1101	10	1.561759039258e-05
4	1101	11	1.244667357013e-07
4	1101	12	3.092651607991e-05
4	1101	13	1.543339242302e-05
4	1101	14	1.857004592032e-07
4	1101	15	4.629643155940e-05
4	1101	16	3.080330790252e-05
4	1101	17	1.555561593870e-05
4	1110	0	9.976693737513e-10
4	1110	1	1.242118365299e-07
4	1110	2	1.561783530349e-05
4	1110	3	9.986730085033e-10
4	1110	4	1.242128401646e-07
4	1110	5	1.561783630712e-05
4	1110	6	1.859453700736e-07
4	1110	7	1.567956883703e-05
4	1110	8	3.105047595565e-05
4	1110	9	9.986730246912e-10
4	1110	10	1.242128401808e-07
4	1110	11	1.561783630714e-05
4	1110	12	1.859453700898e-07
4	1110	13	1.567956883705e-05
4	1110	14	3.105047595566e-05
4	1110	15	1.864421852860e-07
4	1110	16	1.568006565224e-05
4	1110	17	3.105097277086e-05
4	1111	0	1.866851448986e-07
4	1111	1	1.866851448986e-07
4	1111	2	1.866851448986e-07
4	1111	3	1.866851448986e-07
4	1111	4	1.866851448986e-07
4	1111	5	1.866851448986e-07
4	1111	6	1.866851448986e-07
4	1111	7	1.866851448986e-07
4	1111	8	1.866851448986e-07
4	1111	9	1.866851448986e-07
4	1111	10	1.866851448986e-07
4	1111	11	1.866851448986e-07
