# (Pid,Ps)=(1.000000e-02,1.000000e-02) Nseg=200 WinSize=10 [0]
# InnerCB: ICB/2/5_07_2.bin
# Gtable:  Gtable/5/010_010.bin
# InnerCodebook: beta=5(1024) nu=2
# InnerCodebook: B(B2p)=7(128) 7(128) 
# InnerCodebook: checked CWM, EncMap, DecMap
# beta=5(1024) nu=2 N=1000 Dmax=15
# B=7,7,
# NBIDSchannel: N=1000 Q=4 Dmax=15 (Pid,Ps)=(1.000000e-02,1.000000e-02)
# FBalg4: Nseg=200 Dmax=15(w=31)
# FBalg4: Gtable: Gtable/5/010_010.bin
# Gtable: beta=5 (Pid,Ps,Ptrn)=(1.000000e-02,1.000000e-02,9.800000e-01) Pth=1.000000e-10
# Gtable: beta4p=1024 beta4pp=1048576
# Gtable::Gtable len=0 cnt=1024
# Gtable::Gtable len=1 cnt=4096
# Gtable::Gtable len=2 cnt=16384
# Gtable::Gtable len=3 cnt=60244
# Gtable::Gtable len=4 cnt=236452
# Gtable::Gtable len=5 cnt=823900
# Gtable::Gtable len=6 cnt=1412476
# Gtable::Gtable len=7 cnt=890332
# Gtable::Gtable len=8 cnt=148720
# Gtable::Gtable len=9 cnt=5416
# Gtable::Gtable len=10 cnt=0
# FBalg4: beta=5(1024) (Pid,Ps)=(1.000000e-02,1.000000e-02) Pth=1.000000e-10 N=1000
# StatICB: nu=2 beta=5 beta4p=1024 Bsum=14 HdThNum=20 HdThStep=5.00e-02
# StatICB: B=7,7,
# StatICB: HdThList 9.50e-01,9.00e-01,8.50e-01,8.00e-01,7.50e-01,7.00e-01,6.50e-01,6.00e-01,5.50e-01,5.00e-01,4.50e-01,4.00e-01,3.50e-01,3.00e-01,2.50e-01,2.00e-01,1.50e-01,1.00e-01,5.00e-02,1.00e-10,
2082(1004) (7.46e-01 8.77e-01) XE:8.77e-02 (1.34e+00 1.33e+00 | 1.11e+00 1.10e+00)
2150(1000) (8.07e-01 8.77e-01) XE:8.77e-02 (1.29e+00 1.33e+00 | 1.04e+00 1.10e+00)
2217(996) (7.75e-01 8.76e-01) XE:8.76e-02 (1.31e+00 1.33e+00 | 1.01e+00 1.10e+00)
2284(1004) (8.25e-01 8.76e-01) XE:8.76e-02 (1.34e+00 1.33e+00 | 1.01e+00 1.10e+00)
2351(998) (9.91e-01 8.75e-01) XE:8.75e-02 (1.34e+00 1.33e+00 | 1.11e+00 1.10e+00)
2418(997) (9.39e-01 8.75e-01) XE:8.75e-02 (1.37e+00 1.33e+00 | 1.17e+00 1.10e+00)
2486(999) (9.38e-01 8.75e-01) XE:8.75e-02 (1.27e+00 1.33e+00 | 1.10e+00 1.10e+00)
2553(1005) (8.35e-01 8.74e-01) XE:8.74e-02 (1.29e+00 1.33e+00 | 1.05e+00 1.10e+00)
2620(994) (1.16e+00 8.74e-01) XE:8.74e-02 (1.32e+00 1.33e+00 | 1.09e+00 1.10e+00)
2687(1010) (9.26e-01 8.75e-01) XE:8.75e-02 (1.32e+00 1.33e+00 | 9.97e-01 1.10e+00)
2755(1001) (8.86e-01 8.75e-01) XE:8.75e-02 (1.31e+00 1.33e+00 | 1.10e+00 1.10e+00)
2822(999) (8.72e-01 8.75e-01) XE:8.75e-02 (1.34e+00 1.33e+00 | 1.26e+00 1.10e+00)
2889(1001) (4.60e-01 8.74e-01) XE:8.74e-02 (1.31e+00 1.33e+00 | 1.14e+00 1.10e+00)
2956(996) (7.07e-01 8.75e-01) XE:8.75e-02 (1.36e+00 1.33e+00 | 1.24e+00 1.10e+00)
3023(1002) (9.69e-01 8.74e-01) XE:8.74e-02 (1.37e+00 1.33e+00 | 1.15e+00 1.10e+00)
3090(1010) (7.12e-01 8.74e-01) XE:8.74e-02 (1.37e+00 1.33e+00 | 1.14e+00 1.10e+00)
3157(998) (1.07e+00 8.74e-01) XE:8.74e-02 (1.34e+00 1.33e+00 | 1.14e+00 1.10e+00)
3224(1001) (6.78e-01 8.75e-01) XE:8.75e-02 (1.29e+00 1.33e+00 | 1.03e+00 1.10e+00)
3291(1005) (6.15e-01 8.74e-01) XE:8.74e-02 (1.35e+00 1.33e+00 | 1.10e+00 1.10e+00)
3359(994) (1.04e+00 8.75e-01) XE:8.75e-02 (1.31e+00 1.33e+00 | 1.03e+00 1.10e+00)
3426(1002) (8.20e-01 8.75e-01) XE:8.75e-02 (1.34e+00 1.33e+00 | 1.08e+00 1.10e+00)
3492(1000) (8.63e-01 8.75e-01) XE:8.75e-02 (1.31e+00 1.33e+00 | 1.06e+00 1.10e+00)
3557(995) (8.08e-01 8.74e-01) XE:8.74e-02 (1.29e+00 1.33e+00 | 1.17e+00 1.10e+00)
3620(999) (7.37e-01 8.75e-01) XE:8.75e-02 (1.36e+00 1.33e+00 | 1.16e+00 1.10e+00)
3684(1007) (5.64e-01 8.74e-01) XE:8.74e-02 (1.33e+00 1.33e+00 | 1.04e+00 1.10e+00)
3747(1008) (8.54e-01 8.74e-01) XE:8.74e-02 (1.33e+00 1.33e+00 | 1.06e+00 1.10e+00)
3810(996) (7.41e-01 8.74e-01) XE:8.74e-02 (1.31e+00 1.33e+00 | 1.12e+00 1.10e+00)
3874(1000) (9.18e-01 8.74e-01) XE:8.74e-02 (1.30e+00 1.33e+00 | 1.10e+00 1.10e+00)
3937(1005) (7.71e-01 8.74e-01) XE:8.74e-02 (1.34e+00 1.33e+00 | 1.06e+00 1.10e+00)
4000(999) (8.16e-01 8.75e-01) XE:8.75e-02 (1.33e+00 1.33e+00 | 1.16e+00 1.10e+00)
4064(1002) (7.35e-01 8.74e-01) XE:8.74e-02 (1.38e+00 1.33e+00 | 1.01e+00 1.10e+00)
4127(992) (8.73e-01 8.74e-01) XE:8.74e-02 (1.32e+00 1.33e+00 | 1.18e+00 1.10e+00)
4190(1006) (8.22e-01 8.74e-01) XE:8.74e-02 (1.32e+00 1.33e+00 | 1.17e+00 1.10e+00)
4254(996) (8.98e-01 8.74e-01) XE:8.74e-02 (1.32e+00 1.33e+00 | 1.17e+00 1.10e+00)
4317(1010) (6.83e-01 8.74e-01) XE:8.74e-02 (1.31e+00 1.33e+00 | 1.05e+00 1.10e+00)
4380(1004) (5.88e-01 8.74e-01) XE:8.74e-02 (1.34e+00 1.33e+00 | 1.17e+00 1.10e+00)
4443(1001) (9.50e-01 8.74e-01) XE:8.74e-02 (1.30e+00 1.33e+00 | 1.09e+00 1.10e+00)
4506(993) (1.19e+00 8.74e-01) XE:8.74e-02 (1.35e+00 1.33e+00 | 1.10e+00 1.10e+00)
4570(1005) (5.85e-01 8.74e-01) XE:8.74e-02 (1.36e+00 1.33e+00 | 1.07e+00 1.10e+00)
4633(997) (8.78e-01 8.74e-01) XE:8.74e-02 (1.32e+00 1.33e+00 | 1.23e+00 1.10e+00)
4696(1002) (6.61e-01 8.75e-01) XE:8.75e-02 (1.33e+00 1.33e+00 | 1.08e+00 1.10e+00)
4759(995) (8.33e-01 8.74e-01) XE:8.74e-02 (1.30e+00 1.33e+00 | 1.16e+00 1.10e+00)
4823(997) (8.36e-01 8.75e-01) XE:8.75e-02 (1.35e+00 1.33e+00 | 1.18e+00 1.10e+00)
4886(994) (8.35e-01 8.74e-01) XE:8.74e-02 (1.35e+00 1.33e+00 | 1.05e+00 1.10e+00)
4949(998) (9.12e-01 8.75e-01) XE:8.75e-02 (1.34e+00 1.33e+00 | 1.13e+00 1.10e+00)
5012(997) (1.14e+00 8.75e-01) XE:8.75e-02 (1.34e+00 1.33e+00 | 9.55e-01 1.10e+00)
5075(1001) (6.61e-01 8.75e-01) XE:8.75e-02 (1.30e+00 1.33e+00 | 1.19e+00 1.10e+00)
5138(1002) (1.27e+00 8.75e-01) XE:8.75e-02 (1.34e+00 1.33e+00 | 1.18e+00 1.10e+00)
5202(999) (7.30e-01 8.75e-01) XE:8.75e-02 (1.31e+00 1.33e+00 | 1.03e+00 1.10e+00)
5265(1004) (8.64e-01 8.74e-01) XE:8.74e-02 (1.30e+00 1.33e+00 | 1.04e+00 1.10e+00)
5328(993) (7.12e-01 8.75e-01) XE:8.75e-02 (1.33e+00 1.33e+00 | 1.15e+00 1.10e+00)
5392(1005) (8.87e-01 8.75e-01) XE:8.75e-02 (1.29e+00 1.33e+00 | 1.07e+00 1.10e+00)
5455(995) (7.44e-01 8.75e-01) XE:8.75e-02 (1.34e+00 1.33e+00 | 1.07e+00 1.10e+00)
5518(1000) (5.28e-01 8.75e-01) XE:8.75e-02 (1.31e+00 1.33e+00 | 1.25e+00 1.10e+00)
5582(988) (1.06e+00 8.75e-01) XE:8.75e-02 (1.37e+00 1.33e+00 | 1.12e+00 1.10e+00)
5645(1000) (1.03e+00 8.74e-01) XE:8.74e-02 (1.32e+00 1.33e+00 | 1.04e+00 1.10e+00)
5708(995) (8.69e-01 8.74e-01) XE:8.74e-02 (1.33e+00 1.33e+00 | 1.11e+00 1.10e+00)
5772(993) (8.84e-01 8.74e-01) XE:8.74e-02 (1.36e+00 1.33e+00 | 1.12e+00 1.10e+00)
5835(1003) (6.60e-01 8.74e-01) XE:8.74e-02 (1.29e+00 1.33e+00 | 9.93e-01 1.10e+00)
