# (Pid,Ps)=(1.500000e-02,1.000000e-02) Nseg=200 WinSize=10 [0]
# InnerCB: ICB/2/5_07_2.bin
# Gtable:  Gtable/5/015_010.bin
# InnerCodebook: beta=5(1024) nu=2
# InnerCodebook: B(B2p)=7(128) 7(128) 
# InnerCodebook: checked CWM, EncMap, DecMap
# beta=5(1024) nu=2 N=1000 Dmax=20
# B=7,7,
# NBIDSchannel: N=1000 Q=4 Dmax=20 (Pid,Ps)=(1.500000e-02,1.000000e-02)
# FBalg4: Nseg=200 Dmax=20(w=41)
# FBalg4: Gtable: Gtable/5/015_010.bin
# Gtable: beta=5 (Pid,Ps,Ptrn)=(1.500000e-02,1.000000e-02,9.700000e-01) Pth=1.000000e-10
# Gtable: beta4p=1024 beta4pp=1048576
# Gtable::Gtable len=0 cnt=1024
# Gtable::Gtable len=1 cnt=4096
# Gtable::Gtable len=2 cnt=16384
# Gtable::Gtable len=3 cnt=60508
# Gtable::Gtable len=4 cnt=238588
# Gtable::Gtable len=5 cnt=825148
# Gtable::Gtable len=6 cnt=1425652
# Gtable::Gtable len=7 cnt=905716
# Gtable::Gtable len=8 cnt=373972
# Gtable::Gtable len=9 cnt=100348
# Gtable::Gtable len=10 cnt=1024
# FBalg4: beta=5(1024) (Pid,Ps)=(1.500000e-02,1.000000e-02) Pth=1.000000e-10 N=1000
# StatICB: nu=2 beta=5 beta4p=1024 Bsum=14 HdThNum=20 HdThStep=5.00e-02
# StatICB: B=7,7,
# StatICB: HdThList 9.50e-01,9.00e-01,8.50e-01,8.00e-01,7.50e-01,7.00e-01,6.50e-01,6.00e-01,5.50e-01,5.00e-01,4.50e-01,4.00e-01,3.50e-01,3.00e-01,2.50e-01,2.00e-01,1.50e-01,1.00e-01,5.00e-02,1.00e-10,
2869(993) (1.10e+00 1.08e+00) XE:1.08e-01 (1.32e+00 1.33e+00 | 1.16e+00 1.10e+00)
2912(994) (1.06e+00 1.08e+00) XE:1.08e-01 (1.32e+00 1.33e+00 | 1.14e+00 1.10e+00)
2955(1004) (8.97e-01 1.08e+00) XE:1.08e-01 (1.40e+00 1.33e+00 | 1.12e+00 1.10e+00)
2998(1003) (8.28e-01 1.08e+00) XE:1.08e-01 (1.37e+00 1.33e+00 | 1.24e+00 1.10e+00)
3041(1007) (1.21e+00 1.08e+00) XE:1.08e-01 (1.34e+00 1.33e+00 | 1.14e+00 1.10e+00)
3083(1006) (1.11e+00 1.08e+00) XE:1.08e-01 (1.31e+00 1.33e+00 | 1.12e+00 1.10e+00)
3126(1009) (9.00e-01 1.08e+00) XE:1.08e-01 (1.33e+00 1.33e+00 | 1.15e+00 1.10e+00)
3169(990) (1.19e+00 1.08e+00) XE:1.08e-01 (1.35e+00 1.33e+00 | 1.05e+00 1.10e+00)
3212(1002) (1.30e+00 1.08e+00) XE:1.08e-01 (1.36e+00 1.33e+00 | 1.09e+00 1.10e+00)
3255(997) (1.08e+00 1.08e+00) XE:1.08e-01 (1.31e+00 1.33e+00 | 1.11e+00 1.10e+00)
3298(1002) (1.19e+00 1.08e+00) XE:1.08e-01 (1.38e+00 1.33e+00 | 1.15e+00 1.10e+00)
3341(1004) (1.13e+00 1.08e+00) XE:1.08e-01 (1.37e+00 1.33e+00 | 1.08e+00 1.10e+00)
3384(1002) (8.34e-01 1.08e+00) XE:1.08e-01 (1.31e+00 1.33e+00 | 1.02e+00 1.10e+00)
3426(999) (1.37e+00 1.08e+00) XE:1.08e-01 (1.31e+00 1.33e+00 | 1.15e+00 1.10e+00)
3469(1003) (1.18e+00 1.08e+00) XE:1.08e-01 (1.33e+00 1.33e+00 | 9.71e-01 1.10e+00)
3512(995) (9.30e-01 1.08e+00) XE:1.08e-01 (1.31e+00 1.33e+00 | 9.59e-01 1.10e+00)
3555(988) (1.27e+00 1.08e+00) XE:1.08e-01 (1.35e+00 1.33e+00 | 8.64e-01 1.10e+00)
3598(1011) (1.02e+00 1.08e+00) XE:1.08e-01 (1.35e+00 1.33e+00 | 1.03e+00 1.10e+00)
3641(996) (1.30e+00 1.08e+00) XE:1.08e-01 (1.32e+00 1.33e+00 | 1.12e+00 1.10e+00)
3684(1000) (1.03e+00 1.08e+00) XE:1.08e-01 (1.33e+00 1.33e+00 | 1.13e+00 1.10e+00)
3727(1000) (1.24e+00 1.08e+00) XE:1.08e-01 (1.36e+00 1.33e+00 | 1.13e+00 1.10e+00)
3769(997) (1.40e+00 1.08e+00) XE:1.08e-01 (1.35e+00 1.33e+00 | 9.83e-01 1.10e+00)
3812(997) (8.62e-01 1.08e+00) XE:1.08e-01 (1.33e+00 1.33e+00 | 1.02e+00 1.10e+00)
3855(993) (1.16e+00 1.08e+00) XE:1.08e-01 (1.28e+00 1.33e+00 | 1.14e+00 1.10e+00)
3898(998) (1.10e+00 1.08e+00) XE:1.08e-01 (1.31e+00 1.33e+00 | 1.08e+00 1.10e+00)
3941(1006) (1.04e+00 1.08e+00) XE:1.08e-01 (1.34e+00 1.33e+00 | 1.09e+00 1.10e+00)
3984(1001) (1.10e+00 1.08e+00) XE:1.08e-01 (1.31e+00 1.33e+00 | 1.11e+00 1.10e+00)
4027(998) (1.17e+00 1.08e+00) XE:1.08e-01 (1.34e+00 1.33e+00 | 1.11e+00 1.10e+00)
4070(988) (1.18e+00 1.08e+00) XE:1.08e-01 (1.33e+00 1.33e+00 | 1.14e+00 1.10e+00)
4112(997) (1.09e+00 1.08e+00) XE:1.08e-01 (1.32e+00 1.33e+00 | 1.07e+00 1.10e+00)
4155(1008) (7.85e-01 1.08e+00) XE:1.08e-01 (1.35e+00 1.33e+00 | 1.03e+00 1.10e+00)
4198(999) (1.02e+00 1.08e+00) XE:1.08e-01 (1.34e+00 1.33e+00 | 1.16e+00 1.10e+00)
4241(1002) (9.63e-01 1.08e+00) XE:1.08e-01 (1.26e+00 1.33e+00 | 1.11e+00 1.10e+00)
4284(1004) (1.48e+00 1.08e+00) XE:1.08e-01 (1.32e+00 1.33e+00 | 1.12e+00 1.10e+00)
4327(1002) (9.40e-01 1.08e+00) XE:1.08e-01 (1.38e+00 1.33e+00 | 1.17e+00 1.10e+00)
4369(994) (1.08e+00 1.08e+00) XE:1.08e-01 (1.35e+00 1.33e+00 | 1.14e+00 1.10e+00)
4412(1008) (8.75e-01 1.08e+00) XE:1.08e-01 (1.31e+00 1.33e+00 | 1.13e+00 1.10e+00)
4455(1002) (1.17e+00 1.08e+00) XE:1.08e-01 (1.34e+00 1.33e+00 | 9.87e-01 1.10e+00)
