# (Pid,Ps)=(2.500000e-02,1.000000e-03) Nseg=250 WinSize=10 [0]
# InnerCB: ICB/1/4_06_1b.bin
# Gtable:  Gtable/4/025_001.bin
# InnerCodebook: beta=4(256) nu=1
# InnerCodebook: B(B2p)=6(64) 
# InnerCodebook: checked CWM, EncMap, DecMap
# beta=4(256) N=1000 Dmax=30
# NBIDSchannel: N=1000 Q=4 Dmax=30 (Pid,Ps)=(2.500000e-02,1.000000e-03)
# FBalg4: Nseg=250 Dmax=30(w=61)
# FBalg4: Gtable: Gtable/4/025_001.bin
# Gtable: beta=4 (Pid,Ps,Ptrn)=(2.500000e-02,1.000000e-03,9.500000e-01) Pth=1.000000e-10
# Gtable: beta4p=256 beta4pp=65536
# Gtable::Gtable len=0 cnt=256
# Gtable::Gtable len=1 cnt=1024
# Gtable::Gtable len=2 cnt=4096
# Gtable::Gtable len=3 cnt=13732
# Gtable::Gtable len=4 cnt=39112
# Gtable::Gtable len=5 cnt=57292
# Gtable::Gtable len=6 cnt=65560
# Gtable::Gtable len=7 cnt=15676
# Gtable::Gtable len=8 cnt=6400
# FBalg4: beta=4(256) (Pid,Ps)=(2.500000e-02,1.000000e-03) Pth=1.000000e-10 N=1000
4046(1001) (8.26e-01 1.34e+00) XE:1.68e-01 (1.33e+00 1.33e+00 | 1.76e+00 1.87e+00)
4161(1012) (7.48e-01 1.35e+00) XE:1.68e-01 (1.31e+00 1.33e+00 | 1.88e+00 1.87e+00)
4278(1005) (2.08e+00 1.35e+00) XE:1.68e-01 (1.35e+00 1.33e+00 | 2.07e+00 1.87e+00)
4394(1005) (1.07e+00 1.35e+00) XE:1.68e-01 (1.29e+00 1.33e+00 | 1.77e+00 1.87e+00)
4510(1002) (7.69e-01 1.35e+00) XE:1.68e-01 (1.37e+00 1.33e+00 | 2.03e+00 1.87e+00)
4626(1001) (1.30e+00 1.35e+00) XE:1.69e-01 (1.30e+00 1.33e+00 | 1.88e+00 1.87e+00)
4742(1009) (1.24e+00 1.35e+00) XE:1.68e-01 (1.36e+00 1.33e+00 | 1.93e+00 1.87e+00)
4858(1011) (8.34e-01 1.35e+00) XE:1.68e-01 (1.38e+00 1.33e+00 | 1.76e+00 1.87e+00)
4974(999) (1.46e+00 1.35e+00) XE:1.68e-01 (1.34e+00 1.33e+00 | 1.85e+00 1.87e+00)
5089(1003) (1.96e+00 1.35e+00) XE:1.68e-01 (1.34e+00 1.33e+00 | 1.65e+00 1.87e+00)
