# (Pid,Ps)=(1.000000e-02,1.000000e-03) Nseg=200 WinSize=10 [0]
# InnerCB: ICB/1/5_09_1.bin
# Gtable:  Gtable/5/010_001.bin
# InnerCodebook: beta=5(1024) nu=1
# InnerCodebook: B(B2p)=9(512) 
# InnerCodebook: checked CWM, EncMap, DecMap
# beta=5(1024) N=1000 Dmax=15
# NBIDSchannel: N=1000 Q=4 Dmax=15 (Pid,Ps)=(1.000000e-02,1.000000e-03)
# FBalg4: Nseg=200 Dmax=15(w=31)
# FBalg4: Gtable: Gtable/5/010_001.bin
# Gtable: beta=5 (Pid,Ps,Ptrn)=(1.000000e-02,1.000000e-03,9.800000e-01) Pth=1.000000e-10
# Gtable: beta4p=1024 beta4pp=1048576
# Gtable::Gtable len=0 cnt=1024
# Gtable::Gtable len=1 cnt=3124
# Gtable::Gtable len=2 cnt=14548
# Gtable::Gtable len=3 cnt=35392
# Gtable::Gtable len=4 cnt=146476
# Gtable::Gtable len=5 cnt=180256
# Gtable::Gtable len=6 cnt=449452
# Gtable::Gtable len=7 cnt=127432
# Gtable::Gtable len=8 cnt=146464
# Gtable::Gtable len=9 cnt=4096
# Gtable::Gtable len=10 cnt=0
# FBalg4: beta=5(1024) (Pid,Ps)=(1.000000e-02,1.000000e-03) Pth=1.000000e-10 N=1000
0095(1004) (1.66e+00 1.55e+00) XE:1.55e-01 (1.22e+00 1.21e+00 | 1.17e+00 1.25e+00)
0192(1000) (1.12e+00 1.63e+00) XE:1.63e-01 (1.22e+00 1.21e+00 | 1.27e+00 1.25e+00)
0289(1001) (2.34e+00 1.63e+00) XE:1.63e-01 (1.20e+00 1.21e+00 | 1.22e+00 1.25e+00)
0386(1006) (1.36e+00 1.64e+00) XE:1.64e-01 (1.19e+00 1.21e+00 | 1.26e+00 1.25e+00)
0482(998) (2.05e+00 1.63e+00) XE:1.63e-01 (1.19e+00 1.21e+00 | 1.24e+00 1.25e+00)
0579(998) (7.19e-01 1.58e+00) XE:1.58e-01 (1.20e+00 1.21e+00 | 1.32e+00 1.25e+00)
0676(1002) (1.39e+00 1.59e+00) XE:1.59e-01 (1.23e+00 1.21e+00 | 1.19e+00 1.25e+00)
0773(998) (8.71e-01 1.59e+00) XE:1.59e-01 (1.23e+00 1.21e+00 | 1.25e+00 1.25e+00)
0870(1003) (5.79e-01 1.60e+00) XE:1.60e-01 (1.23e+00 1.21e+00 | 1.26e+00 1.25e+00)
0966(1007) (1.51e+00 1.59e+00) XE:1.59e-01 (1.20e+00 1.21e+00 | 1.23e+00 1.25e+00)
1063(995) (1.25e+00 1.59e+00) XE:1.59e-01 (1.20e+00 1.21e+00 | 1.28e+00 1.25e+00)
1160(1004) (6.72e-01 1.58e+00) XE:1.58e-01 (1.20e+00 1.21e+00 | 1.22e+00 1.25e+00)
1257(998) (1.25e+00 1.57e+00) XE:1.57e-01 (1.23e+00 1.21e+00 | 1.19e+00 1.25e+00)
1354(997) (1.13e+00 1.56e+00) XE:1.56e-01 (1.23e+00 1.21e+00 | 1.27e+00 1.25e+00)
1450(1009) (1.31e+00 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.33e+00 1.25e+00)
1547(1000) (1.50e+00 1.56e+00) XE:1.56e-01 (1.24e+00 1.21e+00 | 1.29e+00 1.25e+00)
1644(1003) (8.11e-01 1.57e+00) XE:1.57e-01 (1.19e+00 1.21e+00 | 1.25e+00 1.25e+00)
1741(1004) (1.39e+00 1.57e+00) XE:1.57e-01 (1.21e+00 1.21e+00 | 1.34e+00 1.25e+00)
1837(998) (2.70e+00 1.56e+00) XE:1.56e-01 (1.19e+00 1.21e+00 | 1.24e+00 1.25e+00)
1934(1007) (1.26e+00 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.26e+00 1.25e+00)
2031(1004) (3.47e+00 1.57e+00) XE:1.57e-01 (1.20e+00 1.21e+00 | 1.30e+00 1.25e+00)
2128(997) (3.12e+00 1.57e+00) XE:1.57e-01 (1.20e+00 1.21e+00 | 1.21e+00 1.25e+00)
2225(1001) (1.74e+00 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.33e+00 1.25e+00)
2321(998) (9.61e-01 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.25e+00 1.25e+00)
2418(1001) (7.25e-01 1.56e+00) XE:1.56e-01 (1.18e+00 1.21e+00 | 1.22e+00 1.25e+00)
2515(1001) (8.45e-01 1.56e+00) XE:1.56e-01 (1.23e+00 1.21e+00 | 1.29e+00 1.25e+00)
2612(997) (3.68e+00 1.56e+00) XE:1.56e-01 (1.22e+00 1.21e+00 | 1.32e+00 1.25e+00)
2709(994) (6.99e-01 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.30e+00 1.25e+00)
2805(1004) (7.48e-01 1.56e+00) XE:1.56e-01 (1.23e+00 1.21e+00 | 1.30e+00 1.25e+00)
2902(1000) (1.38e+00 1.56e+00) XE:1.56e-01 (1.22e+00 1.21e+00 | 1.23e+00 1.25e+00)
2999(992) (1.73e+00 1.56e+00) XE:1.56e-01 (1.20e+00 1.21e+00 | 1.30e+00 1.25e+00)
3096(1000) (1.45e+00 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.30e+00 1.25e+00)
3193(994) (4.72e+00 1.56e+00) XE:1.56e-01 (1.24e+00 1.21e+00 | 1.23e+00 1.25e+00)
3289(994) (1.72e+00 1.56e+00) XE:1.56e-01 (1.24e+00 1.21e+00 | 1.18e+00 1.25e+00)
3386(1007) (6.57e-01 1.56e+00) XE:1.56e-01 (1.22e+00 1.21e+00 | 1.25e+00 1.25e+00)
3483(1001) (1.51e+00 1.56e+00) XE:1.56e-01 (1.22e+00 1.21e+00 | 1.34e+00 1.25e+00)
3580(999) (9.23e-01 1.57e+00) XE:1.57e-01 (1.23e+00 1.21e+00 | 1.27e+00 1.25e+00)
3677(1001) (1.47e+00 1.56e+00) XE:1.56e-01 (1.19e+00 1.21e+00 | 1.19e+00 1.25e+00)
3773(995) (1.55e+00 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.26e+00 1.25e+00)
3870(1007) (1.73e+00 1.56e+00) XE:1.56e-01 (1.20e+00 1.21e+00 | 1.22e+00 1.25e+00)
3967(998) (1.83e+00 1.56e+00) XE:1.56e-01 (1.19e+00 1.21e+00 | 1.24e+00 1.25e+00)
4064(1004) (1.78e+00 1.56e+00) XE:1.56e-01 (1.20e+00 1.21e+00 | 1.15e+00 1.25e+00)
4161(998) (1.75e+00 1.56e+00) XE:1.56e-01 (1.23e+00 1.21e+00 | 1.22e+00 1.25e+00)
4257(998) (1.21e+00 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.26e+00 1.25e+00)
4354(1002) (1.76e+00 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.29e+00 1.25e+00)
4451(1002) (1.17e+00 1.56e+00) XE:1.56e-01 (1.21e+00 1.21e+00 | 1.26e+00 1.25e+00)
4548(1001) (2.28e+00 1.55e+00) XE:1.55e-01 (1.19e+00 1.21e+00 | 1.19e+00 1.25e+00)
4645(990) (1.99e+00 1.56e+00) XE:1.56e-01 (1.23e+00 1.21e+00 | 1.20e+00 1.25e+00)
