# (Pid,Ps)=(5.000000e-02,1.000000e-03) Nseg=200 WinSize=10 [0]
# InnerCB: ICB/1/5_08_2.bin
# Gtable:  Gtable/5/050_001.bin
# InnerCodebook: beta=5(1024) nu=2
# InnerCodebook: B(B2p)=8(256) 8(256) 
# InnerCodebook: checked CWM, EncMap, DecMap
# beta=5(1024) N=1000 Dmax=55
# NBIDSchannel: N=1000 Q=4 Dmax=55 (Pid,Ps)=(5.000000e-02,1.000000e-03)
# FBalg4: Nseg=200 Dmax=55(w=111)
# FBalg4: Gtable: Gtable/5/050_001.bin
# Gtable: beta=5 (Pid,Ps,Ptrn)=(5.000000e-02,1.000000e-03,9.000000e-01) Pth=1.000000e-10
# Gtable: beta4p=1024 beta4pp=1048576
# Gtable::Gtable len=0 cnt=1024
# Gtable::Gtable len=1 cnt=4096
# Gtable::Gtable len=2 cnt=16384
# Gtable::Gtable len=3 cnt=60508
# Gtable::Gtable len=4 cnt=156904
# Gtable::Gtable len=5 cnt=451540
# Gtable::Gtable len=6 cnt=491392
# Gtable::Gtable len=7 cnt=905716
# Gtable::Gtable len=8 cnt=207040
# Gtable::Gtable len=9 cnt=100348
# Gtable::Gtable len=10 cnt=31744
# FBalg4: beta=5(1024) (Pid,Ps)=(5.000000e-02,1.000000e-03) Pth=1.000000e-10 N=1000
0019(989) (3.47e+00 3.44e+00) XE:3.44e-01 (1.21e+00 1.21e+00 | 6.54e-01 6.66e-01)
0038(1003) (3.30e+00 3.49e+00) XE:3.49e-01 (1.22e+00 1.21e+00 | 6.22e-01 6.66e-01)
0056(999) (3.13e+00 3.45e+00) XE:3.45e-01 (1.23e+00 1.20e+00 | 6.82e-01 6.67e-01)
0075(1010) (2.51e+00 3.47e+00) XE:3.47e-01 (1.21e+00 1.20e+00 | 6.58e-01 6.70e-01)
0094(1002) (3.18e+00 3.48e+00) XE:3.48e-01 (1.23e+00 1.21e+00 | 6.94e-01 6.72e-01)
0112(1008) (2.63e+00 3.45e+00) XE:3.45e-01 (1.21e+00 1.21e+00 | 7.10e-01 6.74e-01)
0131(992) (3.25e+00 3.48e+00) XE:3.48e-01 (1.19e+00 1.21e+00 | 6.52e-01 6.75e-01)
0150(994) (3.10e+00 3.45e+00) XE:3.45e-01 (1.21e+00 1.21e+00 | 6.14e-01 6.75e-01)
0168(989) (3.54e+00 3.46e+00) XE:3.46e-01 (1.19e+00 1.21e+00 | 6.62e-01 6.74e-01)
0187(1008) (3.34e+00 3.47e+00) XE:3.47e-01 (1.23e+00 1.21e+00 | 6.62e-01 6.75e-01)
0206(995) (3.37e+00 3.48e+00) XE:3.48e-01 (1.18e+00 1.21e+00 | 6.60e-01 6.74e-01)
0224(996) (3.91e+00 3.47e+00) XE:3.47e-01 (1.22e+00 1.21e+00 | 6.90e-01 6.74e-01)
0243(991) (5.46e+00 3.49e+00) XE:3.49e-01 (1.23e+00 1.21e+00 | 7.18e-01 6.75e-01)
0261(1013) (2.52e+00 3.48e+00) XE:3.48e-01 (1.19e+00 1.21e+00 | 6.64e-01 6.75e-01)
0279(994) (3.40e+00 3.49e+00) XE:3.49e-01 (1.17e+00 1.21e+00 | 6.54e-01 6.76e-01)
0296(1002) (4.23e+00 3.49e+00) XE:3.49e-01 (1.22e+00 1.21e+00 | 6.42e-01 6.76e-01)
0314(1014) (3.25e+00 3.48e+00) XE:3.48e-01 (1.21e+00 1.21e+00 | 6.96e-01 6.76e-01)
0331(991) (3.56e+00 3.49e+00) XE:3.49e-01 (1.17e+00 1.21e+00 | 6.30e-01 6.76e-01)
0349(1003) (2.86e+00 3.49e+00) XE:3.49e-01 (1.18e+00 1.21e+00 | 6.62e-01 6.76e-01)
0366(1012) (3.06e+00 3.50e+00) XE:3.50e-01 (1.23e+00 1.21e+00 | 7.25e-01 6.76e-01)
0383(996) (3.71e+00 3.49e+00) XE:3.49e-01 (1.22e+00 1.21e+00 | 6.78e-01 6.76e-01)
0401(1001) (3.60e+00 3.49e+00) XE:3.49e-01 (1.20e+00 1.21e+00 | 6.82e-01 6.76e-01)
0418(997) (3.03e+00 3.49e+00) XE:3.49e-01 (1.22e+00 1.21e+00 | 6.76e-01 6.75e-01)
0436(1002) (3.20e+00 3.50e+00) XE:3.50e-01 (1.20e+00 1.21e+00 | 6.86e-01 6.75e-01)
0453(984) (3.18e+00 3.51e+00) XE:3.51e-01 (1.20e+00 1.21e+00 | 6.64e-01 6.75e-01)
0470(990) (3.98e+00 3.50e+00) XE:3.50e-01 (1.20e+00 1.21e+00 | 6.80e-01 6.75e-01)
0488(992) (5.88e+00 3.49e+00) XE:3.49e-01 (1.21e+00 1.21e+00 | 6.84e-01 6.76e-01)
0505(995) (3.18e+00 3.49e+00) XE:3.49e-01 (1.20e+00 1.21e+00 | 6.62e-01 6.75e-01)
0522(1015) (2.58e+00 3.48e+00) XE:3.48e-01 (1.23e+00 1.21e+00 | 6.94e-01 6.75e-01)
0540(1012) (3.09e+00 3.48e+00) XE:3.48e-01 (1.22e+00 1.21e+00 | 6.62e-01 6.75e-01)
0557(998) (3.39e+00 3.47e+00) XE:3.47e-01 (1.22e+00 1.21e+00 | 6.54e-01 6.76e-01)
0574(1008) (2.94e+00 3.46e+00) XE:3.46e-01 (1.20e+00 1.21e+00 | 6.64e-01 6.76e-01)
0592(1001) (2.99e+00 3.46e+00) XE:3.46e-01 (1.23e+00 1.21e+00 | 6.86e-01 6.76e-01)
0609(992) (3.09e+00 3.46e+00) XE:3.46e-01 (1.18e+00 1.21e+00 | 6.58e-01 6.75e-01)
