#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	5.01E-02	9.42E-01	7.07E-01	7.31E-01
1.50E-02	7.53E-02	9.13E-01	6.85E-01	7.21E-01
2.00E-02	1.01E-01	8.85E-01	6.64E-01	7.10E-01
2.50E-02	1.28E-01	8.56E-01	6.42E-01	6.97E-01
3.00E-02	1.54E-01	8.26E-01	6.20E-01	6.81E-01
3.50E-02	1.81E-01	7.96E-01	5.97E-01	6.67E-01
4.00E-02	2.09E-01	7.62E-01	5.72E-01	6.53E-01
4.50E-02	2.37E-01	7.28E-01	5.46E-01	6.36E-01
5.00E-02	2.66E-01	6.91E-01	5.18E-01	6.20E-01
