#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	9.46E-02	9.10E-01	6.83E-01	7.08E-01
1.50E-02	1.20E-01	8.80E-01	6.60E-01	6.98E-01
2.00E-02	1.47E-01	8.50E-01	6.38E-01	6.85E-01
2.50E-02	1.73E-01	8.20E-01	6.15E-01	6.71E-01
3.00E-02	2.00E-01	7.88E-01	5.91E-01	6.54E-01
3.50E-02	2.28E-01	7.55E-01	5.66E-01	6.40E-01
4.00E-02	2.55E-01	7.21E-01	5.41E-01	6.24E-01
4.50E-02	2.84E-01	6.83E-01	5.12E-01	6.08E-01
5.00E-02	3.12E-01	6.44E-01	4.83E-01	5.93E-01
