#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	3.94E-02	9.51E-01	6.34E-01	6.50E-01
1.50E-02	6.03E-02	9.20E-01	6.13E-01	6.43E-01
2.00E-02	8.58E-02	8.78E-01	5.85E-01	6.33E-01
2.50E-02	1.15E-01	8.29E-01	5.53E-01	6.22E-01
3.00E-02	1.52E-01	7.69E-01	5.13E-01	6.09E-01
3.50E-02	1.94E-01	6.96E-01	4.64E-01	5.97E-01
4.00E-02	2.36E-01	6.28E-01	4.19E-01	5.84E-01
4.50E-02	2.82E-01	5.59E-01	3.73E-01	5.71E-01
5.00E-02	3.28E-01	4.93E-01	3.29E-01	5.58E-01
