#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	8.54E-02	9.24E-01	5.78E-01	5.95E-01
1.50E-02	1.07E-01	9.01E-01	5.63E-01	5.90E-01
2.00E-02	1.29E-01	8.76E-01	5.48E-01	5.82E-01
2.50E-02	1.53E-01	8.49E-01	5.31E-01	5.74E-01
3.00E-02	1.76E-01	8.22E-01	5.14E-01	5.65E-01
3.50E-02	2.02E-01	7.91E-01	4.94E-01	5.54E-01
4.00E-02	2.28E-01	7.58E-01	4.74E-01	5.45E-01
4.50E-02	2.56E-01	7.19E-01	4.49E-01	5.32E-01
5.00E-02	2.85E-01	6.79E-01	4.24E-01	5.22E-01
