#Pid	Xent/bit	Ro	Ri*Ro	Ixy
1.00E-02	4.90E-02	9.32E-01	6.99E-01	7.33E-01
1.50E-02	8.15E-02	8.70E-01	6.53E-01	7.23E-01
2.00E-02	1.22E-01	7.92E-01	5.94E-01	7.12E-01
2.50E-02	1.69E-01	7.01E-01	5.26E-01	7.00E-01
3.00E-02	2.17E-01	6.13E-01	4.60E-01	6.87E-01
3.50E-02	2.67E-01	5.28E-01	3.96E-01	6.74E-01
4.00E-02	3.13E-01	4.55E-01	3.41E-01	6.62E-01
4.50E-02	3.56E-01	3.96E-01	2.97E-01	6.48E-01
5.00E-02	3.95E-01	3.46E-01	2.60E-01	6.34E-01
