# (Pid,Ps)=(1.500000e-02,1.000000e-03) Nseg=250 WinSize=10 [0]
# InnerCB: ICB/1/4_07_1.bin
# Gtable:  Gtable/4/015_001.bin
# InnerCodebook: beta=4(256) nu=1
# InnerCodebook: B(B2p)=7(128) 
# InnerCodebook: checked CWM, EncMap, DecMap
# beta=4(256) N=1000 Dmax=20
# NBIDSchannel: N=1000 Q=4 Dmax=20 (Pid,Ps)=(1.500000e-02,1.000000e-03)
# FBalg4: Nseg=250 Dmax=20(w=41)
# FBalg4: Gtable: Gtable/4/015_001.bin
# Gtable: beta=4 (Pid,Ps,Ptrn)=(1.500000e-02,1.000000e-03,9.700000e-01) Pth=1.000000e-10
# Gtable: beta4p=256 beta4pp=65536
# Gtable::Gtable len=0 cnt=256
# Gtable::Gtable len=1 cnt=1024
# Gtable::Gtable len=2 cnt=4096
# Gtable::Gtable len=3 cnt=13732
# Gtable::Gtable len=4 cnt=32356
# Gtable::Gtable len=5 cnt=57292
# Gtable::Gtable len=6 cnt=20308
# Gtable::Gtable len=7 cnt=15676
# Gtable::Gtable len=8 cnt=256
# FBalg4: beta=4(256) (Pid,Ps)=(1.500000e-02,1.000000e-03) Pth=1.000000e-10 N=1000
6435(993) (1.89e+00 1.57e+00) XE:1.96e-01 (1.24e+00 1.23e+00 | 1.31e+00 1.34e+00)
6619(1002) (2.29e+00 1.57e+00) XE:1.96e-01 (1.23e+00 1.23e+00 | 1.30e+00 1.34e+00)
6803(995) (1.23e+00 1.57e+00) XE:1.96e-01 (1.24e+00 1.23e+00 | 1.34e+00 1.34e+00)
6987(995) (1.15e+00 1.57e+00) XE:1.96e-01 (1.21e+00 1.23e+00 | 1.46e+00 1.34e+00)
7171(1008) (9.62e-01 1.57e+00) XE:1.96e-01 (1.20e+00 1.23e+00 | 1.36e+00 1.34e+00)
7355(1000) (7.67e-01 1.57e+00) XE:1.96e-01 (1.18e+00 1.23e+00 | 1.21e+00 1.34e+00)
7539(1010) (1.53e+00 1.57e+00) XE:1.96e-01 (1.23e+00 1.23e+00 | 1.28e+00 1.34e+00)
7723(1007) (9.93e-01 1.57e+00) XE:1.96e-01 (1.24e+00 1.23e+00 | 1.34e+00 1.34e+00)
7907(996) (9.71e-01 1.57e+00) XE:1.96e-01 (1.23e+00 1.23e+00 | 1.48e+00 1.34e+00)
8090(1002) (2.84e+00 1.57e+00) XE:1.96e-01 (1.23e+00 1.23e+00 | 1.36e+00 1.34e+00)
8274(1003) (1.68e+00 1.57e+00) XE:1.96e-01 (1.24e+00 1.23e+00 | 1.29e+00 1.34e+00)
8458(1000) (1.49e+00 1.57e+00) XE:1.96e-01 (1.22e+00 1.23e+00 | 1.49e+00 1.34e+00)
8642(994) (1.25e+00 1.57e+00) XE:1.96e-01 (1.24e+00 1.23e+00 | 1.31e+00 1.34e+00)
8826(1013) (1.56e+00 1.57e+00) XE:1.96e-01 (1.25e+00 1.23e+00 | 1.35e+00 1.34e+00)
9010(994) (1.52e+00 1.57e+00) XE:1.96e-01 (1.21e+00 1.23e+00 | 1.45e+00 1.34e+00)
9194(993) (1.18e+00 1.57e+00) XE:1.96e-01 (1.22e+00 1.23e+00 | 1.34e+00 1.34e+00)
