# GXNew Probability Table: P(y|x,e)
# Format: Nu2 binary(y) binary(xi) error_state probability
# error_state: 0=Match, 1=Insertion, 2=Deletion, 3=Substitution
Nu2	binary(y)	binary(xi)	error_state	probability
3	010	001011	1	0.000000e+00
3	010	001011	2	0.000000e+00
3	010	001011	3	0.000000e+00
3	010	001101	0	0.000000e+00
3	010	001101	1	0.000000e+00
3	010	001101	2	0.000000e+00
3	010	001101	3	0.000000e+00
3	010	001110	0	2.431575e-07
3	010	001110	1	3.473678e-08
3	010	001110	2	3.473678e-08
3	010	001110	3	3.473678e-08
3	010	010011	0	0.000000e+00
3	010	010011	1	0.000000e+00
3	010	010011	2	0.000000e+00
3	010	010011	3	0.000000e+00
3	010	010101	0	0.000000e+00
3	010	010101	1	0.000000e+00
3	010	010101	2	0.000000e+00
3	010	010101	3	0.000000e+00
3	010	010110	0	3.279362e-07
3	010	010110	1	4.684802e-08
3	010	010110	2	4.684802e-08
3	010	010110	3	4.684802e-08
3	010	011001	0	0.000000e+00
3	010	011001	1	0.000000e+00
3	010	011001	2	0.000000e+00
3	010	011001	3	0.000000e+00
3	010	011010	0	3.909028e-07
3	010	011010	1	5.584326e-08
3	010	011010	2	5.584326e-08
3	010	011010	3	5.584326e-08
3	010	011100	0	1.785975e-07
3	010	011100	1	2.551393e-08
3	010	011100	2	2.551393e-08
3	010	011100	3	2.551393e-08
3	010	100011	0	0.000000e+00
3	010	100011	1	0.000000e+00
3	010	100011	2	0.000000e+00
3	010	100011	3	0.000000e+00
3	010	100101	0	0.000000e+00
3	010	100101	1	0.000000e+00
3	010	100101	2	0.000000e+00
3	010	100101	3	0.000000e+00
3	010	100110	0	9.380426e-08
3	010	100110	1	1.340061e-08
3	010	100110	2	1.340061e-08
3	010	100110	3	1.340061e-08
3	010	101001	0	0.000000e+00
3	010	101001	1	0.000000e+00
3	010	101001	2	0.000000e+00
3	010	101001	3	0.000000e+00
3	010	101010	0	1.785369e-07
3	010	101010	1	2.550527e-08
3	010	101010	2	2.550527e-08
3	010	101010	3	2.550527e-08
3	010	101100	0	3.588192e-08
3	010	101100	1	5.125989e-09
3	010	101100	2	5.125989e-09
3	010	101100	3	5.125989e-09
3	010	110001	0	0.000000e+00
3	010	110001	1	0.000000e+00
3	010	110001	2	0.000000e+00
3	010	110001	3	0.000000e+00
3	010	110010	0	1.500581e-07
3	010	110010	1	2.143687e-08
3	010	110010	2	2.143687e-08
3	010	110010	3	2.143687e-08
3	010	110100	0	2.916907e-08
3	010	110100	1	4.167010e-09
3	010	110100	2	4.167010e-09
3	010	110100	3	4.167010e-09
3	011	001011	0	3.278757e-07
3	011	001011	1	4.683939e-08
3	011	001011	2	4.683939e-08
3	011	001011	3	4.683939e-08
3	011	001101	0	9.383341e-08
3	011	001101	1	1.340477e-08
3	011	001101	2	1.340477e-08
3	011	001101	3	1.340477e-08
3	011	001110	0	0.000000e+00
3	011	001110	1	0.000000e+00
3	011	001110	2	0.000000e+00
3	011	001110	3	0.000000e+00
3	011	010011	0	3.908884e-07
3	011	010011	1	5.584120e-08
3	011	010011	2	5.584120e-08
3	011	010011	3	5.584120e-08
3	011	010101	0	1.786121e-07
3	011	010101	1	2.551602e-08
3	011	010101	2	2.551602e-08
3	011	010101	3	2.551602e-08
3	011	010110	0	0.000000e+00
3	011	010110	1	0.000000e+00
3	011	010110	2	0.000000e+00
3	011	010110	3	0.000000e+00
3	011	011001	0	1.501330e-07
3	011	011001	1	2.144757e-08
3	011	011001	2	2.144757e-08
3	011	011001	3	2.144757e-08
3	011	011010	0	0.000000e+00
3	011	011010	1	0.000000e+00
3	011	011010	2	0.000000e+00
3	011	011010	3	0.000000e+00
3	011	011100	0	0.000000e+00
3	011	011100	1	0.000000e+00
3	011	011100	2	0.000000e+00
3	011	011100	3	0.000000e+00
3	011	100011	0	1.785079e-07
3	011	100011	1	2.550113e-08
3	011	100011	2	2.550113e-08
3	011	100011	3	2.550113e-08
3	011	100101	0	3.588187e-08
3	011	100101	1	5.125982e-09
3	011	100101	2	5.125982e-09
3	011	100101	3	5.125982e-09
3	011	100110	0	0.000000e+00
3	011	100110	1	0.000000e+00
3	011	100110	2	0.000000e+00
3	011	100110	3	0.000000e+00
3	011	101001	0	2.916877e-08
3	011	101001	1	4.166967e-09
3	011	101001	2	4.166967e-09
3	011	101001	3	4.166967e-09
3	011	101010	0	0.000000e+00
3	011	101010	1	0.000000e+00
3	011	101010	2	0.000000e+00
3	011	101010	3	0.000000e+00
3	011	101100	0	0.000000e+00
3	011	101100	1	0.000000e+00
3	011	101100	2	0.000000e+00
3	011	101100	3	0.000000e+00
3	011	110001	0	6.899149e-10
3	011	110001	1	9.855928e-11
3	011	110001	2	9.855928e-11
3	011	110001	3	9.855928e-11
3	011	110010	0	0.000000e+00
3	011	110010	1	0.000000e+00
3	011	110010	2	0.000000e+00
3	011	110010	3	0.000000e+00
3	011	110100	0	0.000000e+00
3	011	110100	1	0.000000e+00
3	011	110100	2	0.000000e+00
3	011	110100	3	0.000000e+00
3	100	001011	0	0.000000e+00
3	100	001011	1	0.000000e+00
3	100	001011	2	0.000000e+00
3	100	001011	3	0.000000e+00
3	100	001101	0	0.000000e+00
3	100	001101	1	0.000000e+00
3	100	001101	2	0.000000e+00
3	100	001101	3	0.000000e+00
3	100	001110	0	6.899149e-10
3	100	001110	1	9.855928e-11
3	100	001110	2	9.855928e-11
3	100	001110	3	9.855928e-11
3	100	010011	0	0.000000e+00
3	100	010011	1	0.000000e+00
3	100	010011	2	0.000000e+00
3	100	010011	3	0.000000e+00
3	100	010101	0	0.000000e+00
3	100	010101	1	0.000000e+00
3	100	010101	2	0.000000e+00
3	100	010101	3	0.000000e+00
3	100	010110	0	2.916877e-08
3	100	010110	1	4.166967e-09
3	100	010110	2	4.166967e-09
3	100	010110	3	4.166967e-09
3	100	011001	0	0.000000e+00
3	100	011001	1	0.000000e+00
3	100	011001	2	0.000000e+00
3	100	011001	3	0.000000e+00
3	100	011010	0	3.588187e-08
3	100	011010	1	5.125982e-09
3	100	011010	2	5.125982e-09
3	100	011010	3	5.125982e-09
3	100	011100	0	1.785079e-07
3	100	011100	1	2.550113e-08
